year,stock,catch,biomass,c_units,b,b_units,other_b_available
1867,2j3kl-SPM,130000,5387414.124,t,total,t,
1868,2j3kl-SPM,121000,5411698.71,t,total,t,
1869,2j3kl-SPM,130000,5410178.761,t,total,t,
1870,2j3kl-SPM,144000,5401556.832,t,total,t,
1871,2j3kl-SPM,155000,5383645.855,t,total,t,
1872,2j3kl-SPM,155000,5384163.369,t,total,t,
1873,2j3kl-SPM,152000,5357423.004,t,total,t,
1874,2j3kl-SPM,171000,5326437.747,t,total,t,
1875,2j3kl-SPM,222000,5303096.736,t,total,t,
1876,2j3kl-SPM,170000,5263210.495,t,total,t,
1877,2j3kl-SPM,158000,5247441.499,t,total,t,
1878,2j3kl-SPM,161000,5240081.681,t,total,t,
1879,2j3kl-SPM,204000,5230915.446,t,total,t,
1880,2j3kl-SPM,206000,5207006.563,t,total,t,
1881,2j3kl-SPM,220000,5186265.412,t,total,t,
1882,2j3kl-SPM,206000,5153450.15,t,total,t,
1883,2j3kl-SPM,223000,5131966.24,t,total,t,
1884,2j3kl-SPM,222000,5104699.09,t,total,t,
1885,2j3kl-SPM,204000,5076894.852,t,total,t,
1886,2j3kl-SPM,216000,5069770.021,t,total,t,
1887,2j3kl-SPM,191000,5064352.653,t,total,t,
1888,2j3kl-SPM,185000,5064487.266,t,total,t,
1889,2j3kl-SPM,173000,5069892.482,t,total,t,
1890,2j3kl-SPM,170000,5090199.95,t,total,t,
1891,2j3kl-SPM,181000,5112029.89,t,total,t,
1892,2j3kl-SPM,163000,5136017.455,t,total,t,
1893,2j3kl-SPM,165000,5152646.838,t,total,t,
1894,2j3kl-SPM,170000,5167130.887,t,total,t,
1895,2j3kl-SPM,196000,5172068.708,t,total,t,
1896,2j3kl-SPM,188000,5166667.666,t,total,t,
1897,2j3kl-SPM,190000,5151570.641,t,total,t,
1898,2j3kl-SPM,200000,5139964.92,t,total,t,
1899,2j3kl-SPM,217000,5117522.456,t,total,t,
1900,2j3kl-SPM,206000,5090181.077,t,total,t,
1901,2j3kl-SPM,219000,5074839.568,t,total,t,
1902,2j3kl-SPM,222000,5045582.403,t,total,t,
1903,2j3kl-SPM,211000,5035979.792,t,total,t,
1904,2j3kl-SPM,191000,5024027.757,t,total,t,
1905,2j3kl-SPM,222000,5027745.284,t,total,t,
1906,2j3kl-SPM,216000,5020645.313,t,total,t,
1907,2j3kl-SPM,234000,5011765.477,t,total,t,
1908,2j3kl-SPM,273000,4976756.382,t,total,t,
1909,2j3kl-SPM,261000,4933731.235,t,total,t,
1910,2j3kl-SPM,238000,4899664.038,t,total,t,
1911,2j3kl-SPM,226000,4894322.965,t,total,t,
1912,2j3kl-SPM,220000,4888397.563,t,total,t,
1913,2j3kl-SPM,211000,4900605.299,t,total,t,
1914,2j3kl-SPM,182000,4924874.094,t,total,t,
1915,2j3kl-SPM,215000,4934299.378,t,total,t,
1916,2j3kl-SPM,224000,4935798.67,t,total,t,
1917,2j3kl-SPM,253000,4912783.582,t,total,t,
1918,2j3kl-SPM,236000,4888820.935,t,total,t,
1919,2j3kl-SPM,265000,4867621.482,t,total,t,
1920,2j3kl-SPM,222000,4848111.981,t,total,t,
1921,2j3kl-SPM,250000,4850560.519,t,total,t,
1922,2j3kl-SPM,249000,4829031.611,t,total,t,
1923,2j3kl-SPM,239000,4826901.807,t,total,t,
1924,2j3kl-SPM,223000,4825581.613,t,total,t,
1925,2j3kl-SPM,256000,4821049.991,t,total,t,
1926,2j3kl-SPM,289000,4790281.973,t,total,t,
1927,2j3kl-SPM,278000,4767136.801,t,total,t,
1928,2j3kl-SPM,250000,4746016.246,t,total,t,
1929,2j3kl-SPM,245000,4730418.325,t,total,t,
1930,2j3kl-SPM,241000,4735418.412,t,total,t,
1931,2j3kl-SPM,216000,4756890.751,t,total,t,
1932,2j3kl-SPM,227000,4775645.507,t,total,t,
1933,2j3kl-SPM,250000,4793192.729,t,total,t,
1934,2j3kl-SPM,268000,4781980.585,t,total,t,
1935,2j3kl-SPM,260000,4769051.147,t,total,t,
1936,2j3kl-SPM,261000,4750851.205,t,total,t,
1937,2j3kl-SPM,225000,4742236.742,t,total,t,
1938,2j3kl-SPM,277000,4742858.188,t,total,t,
1939,2j3kl-SPM,203000,4754731.388,t,total,t,
1940,2j3kl-SPM,190000,4779916.222,t,total,t,
1941,2j3kl-SPM,184000,4826781.817,t,total,t,
1942,2j3kl-SPM,165000,4876557.821,t,total,t,
1943,2j3kl-SPM,209000,4906971.925,t,total,t,
1944,2j3kl-SPM,225000,4932253.956,t,total,t,
1945,2j3kl-SPM,257000,4928992.965,t,total,t,
1946,2j3kl-SPM,252000,4894714.188,t,total,t,
1947,2j3kl-SPM,287000,4863025,t,total,t,
1948,2j3kl-SPM,268000,4823842.706,t,total,t,
1949,2j3kl-SPM,280000,4777017.842,t,total,t,
1950,2j3kl-SPM,272000,4741603.214,t,total,t,
1951,2j3kl-SPM,272000,4714868.285,t,total,t,
1952,2j3kl-SPM,265000,4687120.998,t,total,t,
1953,2j3kl-SPM,238000,4677352.829,t,total,t,
1954,2j3kl-SPM,315843,4661148.973,t,total,t,
1955,2j3kl-SPM,232858,4637108.969,t,total,t,
1956,2j3kl-SPM,263210,4637018.118,t,total,t,
1957,2j3kl-SPM,254456,4635391.557,t,total,t,
1958,2j3kl-SPM,206710,4629168.303,t,total,t,
1959,2j3kl-SPM,359572,4595419.807,t,total,t,
1960,2j3kl-SPM,467802,4498982.271,t,total,t,
1961,2j3kl-SPM,505105,4315614.333,t,total,t,
1962,2j3kl-SPM,507026,4109550.613,t,total,t,
1963,2j3kl-SPM,509209,3901054.404,t,total,t,
1964,2j3kl-SPM,602651,3685451.332,t,total,t,
1965,2j3kl-SPM,545035,3465845.457,t,total,t,
1966,2j3kl-SPM,524505,3256232.737,t,total,t,
1967,2j3kl-SPM,611764,3030290.123,t,total,t,
1968,2j3kl-SPM,810014,2749207.246,t,total,t,
1969,2j3kl-SPM,753690,2401392.204,t,total,t,
1970,2j3kl-SPM,520226,2072140.575,t,total,t,
1971,2j3kl-SPM,439518,1828596.229,t,total,t,
1972,2j3kl-SPM,458295,1650738.503,t,total,t,
1973,2j3kl-SPM,354509,1512024.272,t,total,t,
1974,2j3kl-SPM,372650,1392311.027,t,total,t,
1975,2j3kl-SPM,287508,1287435.548,t,total,t,
1976,2j3kl-SPM,214220,1208154.585,t,total,t,
1977,2j3kl-SPM,172720,1166923.234,t,total,t,
1978,2j3kl-SPM,138559,1161298.024,t,total,t,
1979,2j3kl-SPM,166899,1177744.715,t,total,t,
1980,2j3kl-SPM,175788,1195411.838,t,total,t,
1981,2j3kl-SPM,170748,1209748.028,t,total,t,
1982,2j3kl-SPM,229774,1212812.193,t,total,t,
1983,2j3kl-SPM,232345,1198399.027,t,total,t,
1984,2j3kl-SPM,232471,1164722.988,t,total,t,
1985,2j3kl-SPM,231293,1113040.872,t,total,t,
1986,2j3kl-SPM,266713,1044372.557,t,total,t,
1987,2j3kl-SPM,239924,948423.2739,t,total,t,
1988,2j3kl-SPM,268677,825195.013,t,total,t,
1989,2j3kl-SPM,253990,672910.4867,t,total,t,
1990,2j3kl-SPM,219452,499809.7495,t,total,t,
1991,2j3kl-SPM,172012,331879.2716,t,total,t,
1992,2j3kl-SPM,40956,201702.0246,t,total,t,
1993,2j3kl-SPM,11392,131079.4262,t,total,t,
1994,2j3kl-SPM,1314,104684.8426,t,total,t,
1995,2j3kl-SPM,413,98611.88212,t,total,t,
1996,2j3kl-SPM,1875,98819.53821,t,total,t,
1997,2j3kl-SPM,877,100389.6421,t,total,t,
1998,2j3kl-SPM,4507,101290.1397,t,total,t,
1999,2j3kl-SPM,8526,100435.4046,t,total,t,
2000,2j3kl-SPM,5430,98516.32348,t,total,t,
2001,2j3kl-SPM,6969,96278.91572,t,total,t,
2002,2j3kl-SPM,4249,94710.80748,t,total,t,
2003,2j3kl-SPM,994,94719.38858,t,total,t,
2004,2j3kl-SPM,649,96657.42731,t,total,t,
2005,2j3kl-SPM,1331,99716.71261,t,total,t,
2006,2j3kl-SPM,2701,102985.7019,t,total,t,
2007,2j3kl-SPM,2931,106048.9902,t,total,t,
2008,2j3kl-SPM,3385,108322.269,t,total,t,
2009,2j3kl-SPM,3116,110673.1065,t,total,t,
2010,2j3kl-SPM,2962,112599.6191,t,total,t,
2011,2j3kl-SPM,3770,114708.6291,t,total,t,
2012,2j3kl-SPM,3871,116476.2543,t,total,t,
2013,2j3kl-SPM,4506,118193.6286,t,total,t,
2014,2j3kl-SPM,4870,119238.4414,t,total,t,
2015,2j3kl-SPM,4436,119063.9988,t,total,t,
2016,2j3kl-SPM,6916,117637.712,t,total,t,
2017,2j3kl-SPM,13013,113015.0914,t,total,t,
2018,2j3kl-SPM,11000,105980.6166,t,total,t,
2019,2j3kl-SPM,10559,97499.26239,t,total,t,
1950,4tvn,34708.1,513474.2,t,2+,t,
1951,4tvn,26751.3,530181.7,t,2+,t,
1952,4tvn,38310.1,560589.3,t,2+,t,
1953,4tvn,54465.4,574591.3,t,2+,t,
1954,4tvn,84789.2,565002,t,2+,t,
1955,4tvn,82367.4,531788.3,t,2+,t,
1956,4tvn,104958,525201.6,t,2+,t,
1957,4tvn,87721.1,501713.5,t,2+,t,
1958,4tvn,113143,492730.9,t,2+,t,
1959,4tvn,115269,455024.9,t,2+,t,
1960,4tvn,62464.7,400514.39,t,2+,t,
1961,4tvn,63250.7,388379.4,t,2+,t,
1962,4tvn,46197.1,390390.43,t,2+,t,
1963,4tvn,65790.4,363398.1,t,2+,t,
1964,4tvn,52730.8,288001.4,t,2+,t,
1965,4tvn,63738.6,264209.5,t,2+,t,
1966,4tvn,49493,241860.8,t,2+,t,
1967,4tvn,38771.8,248813.65,t,2+,t,
1968,4tvn,42240.1,264910.44,t,2+,t,
1969,4tvn,41614.6,277949.6,t,2+,t,
1970,4tvn,64466.2,280787.16,t,2+,t,
1971,4tvn,56662.1,240246.71,t,2+,t,
1972,4tvn,66295.8,223910,t,2+,t,
1973,4tvn,51665.4,196883.27,t,2+,t,
1974,4tvn,50316.2,181863.85,t,2+,t,
1975,4tvn,42871.3,188506.27,t,2+,t,
1976,4tvn,37203.8,209252.64,t,2+,t,
1977,4tvn,26824.7,292269.55,t,2+,t,
1978,4tvn,38917.4,401065.26,t,2+,t,
1979,4tvn,57650.6,450524.83,t,2+,t,
1980,4tvn,56922.5,453527,t,2+,t,
1981,4tvn,66952.7,484179.64,t,2+,t,
1982,4tvn,61567.9,494522.87,t,2+,t,
1983,4tvn,63918.2,511449.19,t,2+,t,
1984,4tvn,57405.7,457150.08,t,2+,t,
1985,4tvn,63663.5,461031.51,t,2+,t,
1986,4tvn,68551.8,434526.06,t,2+,t,
1987,4tvn,54323.2,374708.43,t,2+,t,
1988,4tvn,55573,336678.31,t,2+,t,
1989,4tvn,57239.3,303838.74,t,2+,t,
1990,4tvn,57593.4,266969.6,t,2+,t,
1991,4tvn,49441.4,223888.05,t,2+,t,
1992,4tvn,41035.5,178195.19,t,2+,t,
1993,4tvn,5313.1,149703.707,t,2+,t,
1994,4tvn,1339.7,151441.52,t,2+,t,
1995,4tvn,1014.6,152832.98,t,2+,t,
1996,4tvn,1118.7,167344.78,t,2+,t,
1997,4tvn,1737.5,173948.9,t,2+,t,
1998,4tvn,2685.5,170468.91,t,2+,t,
1999,4tvn,6166.6,169424.06,t,2+,t,
2000,4tvn,6057.9,164266.98,t,2+,t,
2001,4tvn,6320.2,160077.6,t,2+,t,
2002,4tvn,5117.9,137373.17,t,2+,t,
2003,4tvn,287.6,126779.68,t,2+,t,
2004,4tvn,2312,119552.53,t,2+,t,
2005,4tvn,2850.5,106616.34,t,2+,t,
2006,4tvn,3024,93778.63,t,2+,t,
2007,4tvn,1465.1,80597.6,t,2+,t,
2008,4tvn,1646.3,63282.84,t,2+,t,
2009,4tvn,149.1,50644.422,t,2+,t,
2010,4tvn,103,47814.454,t,2+,t,
2011,4tvn,114.3,42914.776,t,2+,t,
2012,4tvn,171.7,42524.672,t,2+,t,
2013,4tvn,111.2,39182.082,t,2+,t,
2014,4tvn,113.7,41264.571,t,2+,t,
2015,4tvn,104.4,40397.16,t,2+,t,
2016,4tvn,115.1,35882.687,t,2+,t,
2017,4tvn,58.7,29448.906,t,2+,t,
2018,4tvn,61,22104.862,t,2+,t,
2019,4tvn,54,21186.566,t,2+,t,
2020,4tvn,61,23261.427,t,2+,t,
2021,4tvn,87,24175.138,t,2+,t,
2022,4tvn,110,22051.383,t,2+,t,
2023,4tvn,70,18158.9256,t,2+,t,
1917,4tvn-SPM,38342.99068,633122.2459,t,2+,t,
1918,4tvn-SPM,37301.60387,630372.6068,t,2+,t,
1919,4tvn-SPM,33352.17873,626302.2667,t,2+,t,
1920,4tvn-SPM,27693.03722,619152.4399,t,2+,t,
1921,4tvn-SPM,25786.37201,623858.3433,t,2+,t,
1922,4tvn-SPM,27868.74171,623012.5753,t,2+,t,
1923,4tvn-SPM,30314.47248,629675.826,t,2+,t,
1924,4tvn-SPM,31863.89816,625587.1937,t,2+,t,
1925,4tvn-SPM,32414.33892,621181.1677,t,2+,t,
1926,4tvn-SPM,31748.36822,620462.8432,t,2+,t,
1927,4tvn-SPM,31110.30664,622309.4114,t,2+,t,
1928,4tvn-SPM,31640.07692,623599.5658,t,2+,t,
1929,4tvn-SPM,32588.12862,626036.4027,t,2+,t,
1930,4tvn-SPM,32695.5195,622580.2218,t,2+,t,
1931,4tvn-SPM,30975.49962,622181.9374,t,2+,t,
1932,4tvn-SPM,28821.58468,622390.8529,t,2+,t,
1933,4tvn-SPM,27909.46531,624963.0564,t,2+,t,
1934,4tvn-SPM,27715.85962,626624.8898,t,2+,t,
1935,4tvn-SPM,27717.97361,630485.4695,t,2+,t,
1936,4tvn-SPM,27813.89071,633319.6581,t,2+,t,
1937,4tvn-SPM,27176.56717,636719.4556,t,2+,t,
1938,4tvn-SPM,26381.2752,639550.6084,t,2+,t,
1939,4tvn-SPM,27211.88344,645870.77,t,2+,t,
1940,4tvn-SPM,29500.64294,652750.707,t,2+,t,
1941,4tvn-SPM,32329.89658,655338.7578,t,2+,t,
1942,4tvn-SPM,35715.61119,660638.9196,t,2+,t,
1943,4tvn-SPM,39266.10572,655707.961,t,2+,t,
1944,4tvn-SPM,43511.44144,656443.2125,t,2+,t,
1945,4tvn-SPM,48417.22701,651139.4574,t,2+,t,
1946,4tvn-SPM,49808.96242,643358.0841,t,2+,t,
1947,4tvn-SPM,46546.68587,636943.9808,t,2+,t,
1948,4tvn-SPM,44137.45155,634810.2378,t,2+,t,
1949,4tvn-SPM,43920.19654,638007.0825,t,2+,t,
1950,4tvn-SPM,42531.98245,641278.2556,t,2+,t,
1951,4tvn-SPM,41743.94222,646208.2468,t,2+,t,
1952,4tvn-SPM,46329.31653,660592.1766,t,2+,t,
1953,4tvn-SPM,55081.14069,664421.8808,t,2+,t,
1954,4tvn-SPM,64314.53082,662081.3052,t,2+,t,
1955,4tvn-SPM,75525.93274,652743.6172,t,2+,t,
1956,4tvn-SPM,86435.68718,631570.9763,t,2+,t,
1957,4tvn-SPM,88695.9343,601824.66,t,2+,t,
1958,4tvn-SPM,82780.50418,564371.7303,t,2+,t,
1959,4tvn-SPM,74612.34863,533347.1996,t,2+,t,
1960,4tvn-SPM,68823.18245,510194.8826,t,2+,t,
1961,4tvn-SPM,66802.46877,491784.7647,t,2+,t,
1962,4tvn-SPM,66799.86217,471631.3455,t,2+,t,
1963,4tvn-SPM,66173.58686,448007.1293,t,2+,t,
1964,4tvn-SPM,64021.3419,417080.2722,t,2+,t,
1965,4tvn-SPM,60765.47998,388394.526,t,2+,t,
1966,4tvn-SPM,55469.599,359365.4345,t,2+,t,
1967,4tvn-SPM,50449.58471,331031.9824,t,2+,t,
1968,4tvn-SPM,49998.65773,306975.1746,t,2+,t,
1969,4tvn-SPM,54034.18876,277725.1492,t,2+,t,
1970,4tvn-SPM,58961.46081,239611.7674,t,2+,t,
1971,4tvn-SPM,61444.71765,190740.9935,t,2+,t,
1972,4tvn-SPM,60405.61868,179375.2052,t,2+,t,
1973,4tvn-SPM,55565.0954,164551.5616,t,2+,t,
1974,4tvn-SPM,49394.2617,152209.7821,t,2+,t,
1975,4tvn-SPM,43272.0661,137579.4402,t,2+,t,
1976,4tvn-SPM,37676.53823,150044.4405,t,2+,t,
1977,4tvn-SPM,36199.04726,189885.2269,t,2+,t,
1978,4tvn-SPM,42086.57993,256905.204,t,2+,t,
1979,4tvn-SPM,51432.19623,319883.6226,t,2+,t,
1980,4tvn-SPM,58501.44399,375480.6514,t,2+,t,
1981,4tvn-SPM,62182.80263,446056.0923,t,2+,t,
1982,4tvn-SPM,62903.62111,424553.5948,t,2+,t,
1983,4tvn-SPM,62090.78823,368412.0906,t,2+,t,
1984,4tvn-SPM,61781.95561,341851.7921,t,2+,t,
1985,4tvn-SPM,62797.97097,383692.3231,t,2+,t,
1986,4tvn-SPM,62304.89305,355836.1001,t,2+,t,
1987,4tvn-SPM,59155.29455,313975.2192,t,2+,t,
1988,4tvn-SPM,56908.28009,334842.4577,t,2+,t,
1989,4tvn-SPM,56227.37086,280226.3932,t,2+,t,
1990,4tvn-SPM,53818.64472,209860.6816,t,2+,t,
1991,4tvn-SPM,46476.80319,158130.4187,t,2+,t,
1992,4tvn-SPM,32672.77831,109269.9872,t,2+,t,
1993,4tvn-SPM,16266.21332,98098.24507,t,2+,t,
1994,4tvn-SPM,5530.700629,95108.31905,t,2+,t,
1995,4tvn-SPM,1912.1275,101492.0083,t,2+,t,
1996,4tvn-SPM,1492.602664,112277.293,t,2+,t,
1997,4tvn-SPM,2125.780481,106998.1716,t,2+,t,
1998,4tvn-SPM,3435.167056,106158.4377,t,2+,t,
1999,4tvn-SPM,4900.019618,109568.3908,t,2+,t,
2000,4tvn-SPM,5611.633531,102186.3048,t,2+,t,
2001,4tvn-SPM,5264.324547,99221.95912,t,2+,t,
2002,4tvn-SPM,3979.44727,108032.2703,t,2+,t,
2003,4tvn-SPM,2589.949438,91555.60668,t,2+,t,
2004,4tvn-SPM,2233.636257,81968.55876,t,2+,t,
2005,4tvn-SPM,2491.386703,59363.83258,t,2+,t,
2006,4tvn-SPM,2408.763996,59304.96723,t,2+,t,
2007,4tvn-SPM,1888.261451,55461.78369,t,2+,t,
2008,4tvn-SPM,1238.555716,53843.8033,t,2+,t,
2009,4tvn-SPM,621.6582179,47468.55042,t,2+,t,
2010,4tvn-SPM,247.3009914,33900.60368,t,2+,t,
2011,4tvn-SPM,142.8941538,24851.8255,t,2+,t,
2012,4tvn-SPM,134.4803323,25001.41362,t,2+,t,
2013,4tvn-SPM,126.2632638,37064.53764,t,2+,t,
2014,4tvn-SPM,114.9905077,34302.2385,t,2+,t,
2015,4tvn-SPM,106.9331768,31648.90516,t,2+,t,
2016,4tvn-SPM,94.82340514,24242.41059,t,2+,t,
2017,4tvn-SPM,77.62512352,16411.76871,t,2+,t,
2018,4tvn-SPM,65.44720511,16550.53001,t,2+,t,
2019,4tvn-SPM,53.327,16970.46971,t,2+,t,
2020,4tvn-SPM,58.484,25674.62502,t,2+,t,
2021,4tvn-SPM,83.553,32887.92565,t,2+,t,
2022,4tvn-SPM,112.727,31368.41712,t,2+,t,
2023,4tvn-SPM,30.936,19672.43055,t,2+,t,
1958,4vsw,43954.24837,252090.62,,,,
1959,4vsw,67647.05882,268092.2099,,,,
1960,4vsw,47222.22222,272551.6693,,,,
1961,4vsw,61928.10458,288028.6169,,,,
1962,4vsw,65686.27451,293275.0397,,,,
1963,4vsw,80228.75817,301669.3164,,,,
1964,4vsw,74183.00654,291176.4706,,,,
1965,4vsw,96078.43137,271764.7059,,,,
1966,4vsw,76143.79085,234515.1033,,,,
1967,4vsw,56209.15033,230317.965,,,,
1968,4vsw,85130.71895,218513.5135,,,,
1969,4vsw,54411.76471,223104.1335,,,,
1970,4vsw,81535.94771,280814.7854,,,,
1971,4vsw,54411.76471,221136.725,,,,
1972,4vsw,70098.03922,235039.7456,,,,
1973,4vsw,64542.48366,197265.5008,,,,
1974,4vsw,46568.62745,174705.8824,,,,
1975,4vsw,48529.41176,153195.5485,,,,
1976,4vsw,26307.18954,141391.097,,,,
1977,4vsw,12091.50327,180739.2687,,,,
1978,4vsw,28104.57516,224546.8998,,,,
1979,4vsw,40359.47712,212480.1272,,,,
1980,4vsw,46895.42484,259872.814,,,,
1981,4vsw,53431.37255,311899.841,,,,
1982,4vsw,48202.61438,310588.2353,,,,
1983,4vsw,51143.79085,343378.3784,,,,
1984,4vsw,48366.01307,329650.2385,,,,
1985,4vsw,50816.99346,285580.2862,,,,
1986,4vsw,44771.24183,241860.0954,,,,
1987,4vsw,41013.0719,199538.9507,,,,
1988,4vsw,35620.91503,171558.0286,,,,
1989,4vsw,36274.5098,169459.4595,,,,
1990,4vsw,34640.52288,139817.1701,,,,
1991,4vsw,22058.82353,104578.6963,,,,
1992,4vsw,24019.60784,67416.53418,,,,
1993,4vsw,3267.973856,45119.23688,,,,
1994,4vsw,163.3986928,45643.87917,,,,
1995,4vsw,130.7189542,38823.52941,,,,
1996,4vsw,98.03921564,33577.10652,,,,
1997,4vsw,65.35947705,30429.25278,,,,
1998,4vsw,32.67973846,26232.11447,,,,
1999,4vsw,0,25182.82989,,,,
2000,4vsw,0,26756.75676,,,,
2001,4vsw,0,22559.61844,,,,
2002,4vsw,0,26756.75676,,,,
2003,4vsw,0,21510.33386,,,,
2004,4vsw,0,23608.90302,,,,
2005,4vsw,0,38823.52941,,,,
2006,4vsw,0,51414.94436,,,,
2007,4vsw,0,71351.35135,,,,
2008,4vsw,0,88139.90461,,,,
2009,4vsw,0,94435.61208,,,,
1978,GB,19202.23276,32294,,,,
1979,GB,18718.94897,38302,,,,
1980,GB,23740.09365,41707,,,,
1981,GB,24146.31463,39225,,,,
1982,GB,33131.44397,36412,,,,
1983,GB,28179.87663,31786,,,,
1984,GB,22735.19253,28618,,,,
1985,GB,22270.80277,24889,,,,
1986,GB,16950.04413,20304,,,,
1987,GB,21042.89332,21247,,,,
1988,GB,26256.27145,25854,,,,
1989,GB,18825.84539,26355,,,,
1990,GB,26126.39601,32637,,,,
1991,GB,25275.38696,27907,,,,
1992,GB,20519.171,20745,,,,
1993,GB,16472.519,15236,,,,
1994,GB,9596.661,11029,,,,
1995,GB,3397.6449,12663,,,,
1996,GB,4581.9759,17294,,,,
1997,GB,6309.9482,14110,,,,
1998,GB,4965.1653,12116,,,,
1999,GB,5108.7931,12712,,,,
2000,GB,4157.7968,12339,,,,
2001,GB,6071.3983,14098,,,,
2002,GB,5512.7177,15329,,,,
2003,GB,5231.2231,13120,,,,
2004,GB,3101.8705,11152,,,,
2005,GB,2471.0825,11496,,,,
2006,GB,2809.8394,12120,,,,
2007,GB,3389.6699,11566,,,,
2008,GB,3071.846,10445,,,,
2009,GB,3251.4051,9837,,,,
2010,GB,2436.602,8040,,,,
2011,GB,2137.167,5759,,,,
2012,GB,1563.1785,3643,,,,
2013,GB,975.4938,4093,,,,
2014,GB,1309.7588,4528,,,,
2015,GB,1297.5505,4365,,,,
2016,GB,1085.1205,6519,,,,
2017,GB,692.7446,9598,,,,
2018,GB,745.091,9065,,,,
2019,GB,634.4919,5783,,,,
2020,GB,602.6907,3984,,,,
2021,GB,614.9421,3490,,,,
2022,GB,423.2790015,3111,,,,
2023,GB,416.6798264,2668,,,,
1981,EGOM,1590.705392,3415,,,,
1982,EGOM,1869.470505,3262,,,,
1983,EGOM,2045.043765,3016,,,,
1984,EGOM,1799.015084,3136,,,,
1985,EGOM,2229.606555,2950,,,,
1986,EGOM,2160.585434,2664,,,,
1987,EGOM,1696.348156,2155,,,,
1988,EGOM,1011.636415,2631,,,,
1989,EGOM,3340.986181,2649,,,,
1990,EGOM,2613.465449,2590,,,,
1991,EGOM,2666.601911,1836,,,,
1992,EGOM,1262.238304,893,,,,
1993,EGOM,711.1684435,597,,,,
1994,EGOM,589.5255394,501,,,,
1995,EGOM,523.1392,388,,,,
1996,EGOM,394.5232,235,,,,
1997,EGOM,186.2609,120,,,,
1998,EGOM,101.6,95,,,,
1999,EGOM,47.1209,140,,,,
2000,EGOM,104.1,177,,,,
2001,EGOM,122.7,174,,,,
2002,EGOM,85.4352,159,,,,
2003,EGOM,66.718,148,,,,
2004,EGOM,101.1527,150,,,,
2005,EGOM,91.79074524,95,,,,
2006,EGOM,47.539,85,,,,
2007,EGOM,58.5332,70,,,,
2008,EGOM,38.0242,51,,,,
2009,EGOM,29.6104,41,,,,
2010,EGOM,25.7494,32,,,,
2011,EGOM,26.6064,21,,,,
2012,EGOM,10.83182534,20,,,,
2013,EGOM,7.106727712,33,,,,
2014,EGOM,4.475280741,52,,,,
2015,EGOM,2.094936753,68,,,,
2016,EGOM,4.362039575,91,,,,
2017,EGOM,7.592358747,110,,,,
2018,EGOM,2.795365537,137,,,,
2019,EGOM,3.914522077,164,,,,
2020,EGOM,2.82777946,189,,,,
2021,EGOM,1.83782291,211,,,,
2022,EGOM,3.608,244,,,,
2023,EGOM,1.42,267,,,,
1981,SNE,2500.052018,11859,,,,
1982,SNE,6894.521115,12309,,,,
1983,SNE,4173.009551,9383,,,,
1984,SNE,4517.929017,7939,,,,
1985,SNE,2603.139388,6384,,,,
1986,SNE,2502.395857,5821,,,,
1987,SNE,4144.387878,6191,,,,
1988,SNE,8523.345253,9064,,,,
1989,SNE,4005.039095,6602,,,,
1990,SNE,3348.013095,5951,,,,
1991,SNE,3342.412189,5195,,,,
1992,SNE,2402.124868,3820,,,,
1993,SNE,3274.400384,3183,,,,
1994,SNE,1430.888759,2381,,,,
1995,SNE,1968.360808,2464,,,,
1996,SNE,743.8593858,1767,,,,
1997,SNE,2386.144687,2010,,,,
1998,SNE,718.2981215,1313,,,,
1999,SNE,379.6613434,1409,,,,
2000,SNE,1924.303757,1791,,,,
2001,SNE,544.7582564,904,,,,
2002,SNE,318.244726,817,,,,
2003,SNE,495.7971309,857,,,,
2004,SNE,448.1304344,538,,,,
2005,SNE,668.4553776,539,,,,
2006,SNE,170.1119984,339,,,,
2007,SNE,214.1375312,450,,,,
2008,SNE,356.2319835,621,,,,
2009,SNE,355.40813,440,,,,
2010,SNE,484.4345135,494,,,,
2011,SNE,455.2949548,540,,,,
2012,SNE,274.6808138,469,,,,
2013,SNE,175.8183612,450,,,,
2014,SNE,361.8850441,602,,,,
2015,SNE,572.8108147,536,,,,
2016,SNE,1170.352727,674,,,,
2017,SNE,534.78357,560,,,,
2018,SNE,114.6402716,320,,,,
2019,SNE,256.6948214,437,,,,
2020,SNE,209.6418455,285,,,,
2021,SNE,227.8465872,252,,,,
2022,SNE,141.7265997,217,,,,
2023,SNE,277.3221595,289,,,,
1981,WGOM,34294.8,18961,,,,
1982,WGOM,38294.7,23712,,,,
1983,WGOM,34959.4,22590,,,,
1984,WGOM,26728.1,17928,,,,
1985,WGOM,27610.3,12351,,,,
1986,WGOM,20769.5,10691,,,,
1987,WGOM,19483.9,11534,,,,
1988,WGOM,22200.4,12985,,,,
1989,WGOM,23538,17846,,,,
1990,WGOM,32406.3,18152,,,,
1991,WGOM,29884.9,14247,,,,
1992,WGOM,18713,12175,,,,
1993,WGOM,16704.8,11535,,,,
1994,WGOM,14285.1,12645,,,,
1995,WGOM,12425.4,13800,,,,
1996,WGOM,12122,12581,,,,
1997,WGOM,10326.4,9181,,,,
1998,WGOM,9104.8,9469,,,,
1999,WGOM,8957,14934,,,,
2000,WGOM,11750.1,21301,,,,
2001,WGOM,16134,31719,,,,
2002,WGOM,12571.2,36220,,,,
2003,WGOM,9983.9,27440,,,,
2004,WGOM,8491.7,21112,,,,
2005,WGOM,8479.2,18626,,,,
2006,WGOM,5733.4,19535,,,,
